speciality,job_count,pay_range,competition,payment_status,duration,client_spent,skills
Data Processing,835,"(0.0, 200.0)",8233,1.0,18,105057277.82999986,"['Data Entry', 'Google Sheets', 'Microsoft Excel', 'Python', 'Visual Basic for Applications', 'SQL', 'Data Processing', 'Apache Kafka', 'Databricks Platform', 'Data Annotation', 'Data Labeling', 'Data Cleaning', 'Data Segmentation', 'R', 'Apache Airflow', 'Apache Spark']"
Data Mining,2233,"(0.0, 625.0)",20041,1.0,20,223238177.90999994,"['Data Entry', 'Lead Generation', 'Microsoft Excel', 'Data Scraping', 'Python', 'List Building', 'Data Mining', 'SQL', 'Tableau', 'Selenium', 'Microsoft Power BI', 'pandas', 'R', 'Beautiful Soup', 'Scrapy', 'Online Research', 'Python Scikit-Learn', 'NumPy']"
Business Applications Development,2379,"(0.0, 999.0)",22611,1.0,20,206598435.3300005,"['Office 365', 'Education', 'JavaScript', 'CSS', 'Java', 'PHP', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'C#', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'SQL', 'Dashboard', 'Health & Wellness', 'Salesforce CRM', '.NET Framework', 'HR & Business Services', 'Manufacturing & Construction', 'Real Estate', 'HubSpot', 'Sales & Marketing', 'Media & Entertainment', 'HTML5', 'Energy & Utilities', 'Sports & Recreation', 'CRM Software', 'Fashion & Beauty', 'Business with 100-999 Employees', 'Legal', 'Salesforce Einstein', 'Automated Workflow', 'Business with 1000+ Employees', 'Microsoft SharePoint', 'Engineering & Architecture', 'ERP Software', 'Pardot', 'Salesforce Marketing Cloud', 'Zoho Platform', 'SAP ERP', 'CRM Development', 'Oracle NetSuite', 'Microsoft Dynamics 365', 'ServiceNow', 'Business Applications Development', 'jQuery', 'Salesforce Sales Cloud', 'Marketo', 'Science & Medicine', 'Business Applications Consultation', 'Software Integration', 'Custom App', 'Customer Portal', 'Marketing Automation Software', 'Automotive', 'Transportation & Warehousing', 'Demand Planning']"
Systems Engineering,1319,"(0.0, 250.0)",12115,1.0,22,147677525.3299998,"['Office 365', 'Education', 'Java', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Health & Wellness', 'Microsoft Active Directory', 'Windows Server', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'Docker', 'Kubernetes', 'Linux', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Travel & Hospitality', 'Microsoft Azure', 'Fashion & Beauty', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Legal', 'Ansible', 'NGINX', 'Ubuntu', 'Microsoft Windows PowerShell', 'Business with 1000+ Employees', 'Engineering & Architecture', 'Microsoft Windows', 'Terraform', 'Apache HTTP Server', 'macOS', 'Science & Medicine', 'Computer Systems Engineering', 'Information Systems Engineering', 'Systems Engineering', 'Automotive', 'Microsoft Exchange Server', 'Transportation & Warehousing']"
IT Compliance,43,"(0.0, 90.0)",482,1.0,28,6376923.529999999,"['HIPAA', 'IT Compliance Audit', 'SaaS', 'Federal Information Security Management Act of 2002', 'FedRAMP', 'SOC 2 Report', 'Computer Network', 'Compliance Consultation', 'Risk Assessment', 'ISO 27001']"
Systems Administration,705,"(0.0, 200.0)",7027,1.0,18,80108005.18999998,"['Office 365', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Microsoft Active Directory', 'Windows Server', 'System Administration', 'Amazon Web Services', 'Linux', 'Microsoft Azure', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Salesforce', 'NGINX', 'Ubuntu', 'Microsoft Windows PowerShell', 'Business with 1000+ Employees', 'Microsoft Windows', 'Apache HTTP Server', 'DNS', 'Security Management', 'System Monitoring', 'macOS', 'Server Virtualization', 'Microsoft Exchange Server']"
Cloud Engineering,1398,"(0.0, 999.0)",12667,1.0,23,150783753.74999994,"['Office 365', 'Education', 'Java', 'Python', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Finance & Accounting', 'Aerospace', 'MySQL', 'Art & Design', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Salesforce CRM', '.NET Framework', 'Google Apps Script', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'MongoDB', 'Linux', 'SaaS', 'Sales & Marketing', 'Computer Network', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Microsoft Azure', 'Ruby on Rails', 'Fashion & Beauty', 'Amusement & Gambling', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Cloud Architecture', 'Cloud Engineering', 'Cloud Testing', 'Business with 1000+ Employees', 'Apache Airflow', 'AWS Glue', 'Engineering & Architecture', 'AWS Amplify', 'Zoho Platform', 'SAP', 'Azure DevOps', 'Oracle NetSuite', 'Heroku', 'Ruby', 'Microsoft Dynamics 365', 'DigitalOcean', 'Science & Medicine', 'Cloud Implementation', 'Automotive', 'Cloud Management', 'Transportation & Warehousing']"
Solution Architecture,2032,"(0.0, 250.0)",19586,1.0,20,177545663.45,"['Office 365', 'Education', 'JavaScript', 'Java', 'PHP', 'Python', 'Business with 10-99 Employees', 'Finance & Accounting', 'Business with 1-9 Employees', 'Aerospace', 'C#', 'Religious, Charitable & Nonprofit', 'Food & Beverage', 'Tech & IT', 'Retail & Consumer Goods', 'Node.js', 'SQL', 'Health & Wellness', 'Manufacturing & Construction', 'Real Estate', 'Amazon Web Services', 'Media & Entertainment', 'Energy & Utilities', 'Sports & Recreation', 'Nonprofit Organization', 'Microsoft Azure', 'Fashion & Beauty', 'Amusement & Gambling', 'Google Cloud Platform', 'Business with 100-999 Employees', 'Salesforce', 'Legal', 'Business with 1000+ Employees', 'Military & Defense', 'Microsoft SharePoint', 'Engineering & Architecture', 'Elasticsearch', 'SAP', 'Oracle NetSuite', 'Microsoft Dynamics 365', 'Cloud Computing', 'Implementation', 'Solution Architecture Consultation', 'RESTful Architecture', 'Science & Medicine', 'Apex', 'Web Service', 'Aviation', 'Transportation & Warehousing']"
Scripting & Automation,2102,"(0.0, 200.0)",22091,1.0,16,188488925.5500001,"['Google Workspace', 'Google Sheets', 'Microsoft Excel', 'API Integration', 'Data Scraping', 'JavaScript', 'PHP', 'Python', 'Visual Basic for Applications', 'Automation', 'Make.com', 'Google Docs', 'Data Extraction', 'Data Mining', 'Node.js', 'Dashboard', 'Salesforce CRM', 'Google Apps Script', 'Microsoft Power Automate', 'Pine Script', 'TradingView', 'Scripting', 'Zapier', 'Google Sheets Automation', 'Selenium', 'TypeScript', 'n8n', 'Business Process Automation', 'AI Builder', 'Web Crawling', 'Web Application Development', 'R', 'UiPath', 'Microsoft Windows PowerShell', 'Beautiful Soup', 'Scrapy', 'AI Trading', 'Oracle NetSuite', 'Task Automation', 'Ruby', 'MetaTrader 4', 'Forex Trading', 'jQuery', 'Robotic Process Automation', 'NinjaTrader', 'Trading Automation', 'MetaTrader 5', 'Spreadsheet Automation', 'Lua']"
Product Management,1074,"(0.0, 200.0)",9876,1.0,22,152513646.63999993,"['Market Research', 'Project Management', 'Google Analytics', 'Microsoft Excel', 'Business with 10-99 Employees', 'Business with 1-9 Employees', 'Data Analysis', 'SQL', 'Product Backlog', 'Product Roadmap', 'Product Management', 'Go-to-Market Strategy', 'Wireframing', 'Prototyping', 'Usability Testing', 'Software Development', 'UX & UI', 'Product Development', 'Quality Assurance', 'Product Design', 'Business with 100-999 Employees', 'Status Reports', 'Functional Prototype', 'Jira', 'Business with 1000+ Employees', 'Implementation Plan', 'Agile Project Management', 'Asana', 'AI Product Management', 'Kanban Methodology', 'Trello', 'GitLab', 'Stakeholder Management', 'Requirements Specification', 'Design Thinking', 'Waterfall', 'Demo Presentation', 'Lean Development', 'Scrum', 'Mixpanel']"
