speciality,skills,job_count,pay_range,competition,payment_status,duration,client_spent
Data Analytics,"['SQL', 'Python', 'R', 'Visual Basic for Applications', 'Analytical Presentation', 'Dashboard', 'Data Analysis', 'Data Analysis Consultation', 'Predictive Model', 'Query Development', 'Report', 'Time Series Analysis', 'Customer Service Analytics', 'Growth Analytics', 'Marketing Analytics', 'Operations Analytics', 'Product Analytics', 'Sales Analytics', 'Data Visualization', 'A/B Testing', 'Big Data', 'Business Intelligence', 'Data Analytics', 'Data Science', 'Data Transformation', 'Funnel Testing', 'Hypothesis Testing', 'Statistics', 'Google Analytics', 'BigQuery', 'BIRT', 'Domo', 'Google Sheets', 'Google Tag Manager', 'Looker', 'Looker Studio', 'Microsoft Excel', 'Microsoft Power BI', 'Oracle Analytics Cloud', 'Power Query', 'Qlik Sense', 'QlikView', 'SAP Crystal Reports', 'Snowflake', 'Tableau', 'Zoho Analytics']",1030,"([0.0], [120.0, 65.0, 0.0, 40.0])",10447,1.0,19,118752720.71
Data Visualization,"['ArcGIS', 'BIRT', 'Domo', 'Google Sheets', 'Grafana', 'Kibana', 'Looker', 'Looker Studio', 'Microsoft Excel', 'Microsoft Power BI', 'Microsoft Power BI Data Visualization', 'Power Query', 'QGIS', 'Qlik Sense', 'QlikView', 'SAP Crystal Reports', 'Tableau', 'Talend Open Studio', 'Zoho Analytics', 'Java', 'JavaScript', 'SQL', 'Python', 'R', 'Data Visualization', 'API Integration', 'Business Intelligence', 'Dashboard', 'Digital Mapping', 'Presentations']",1253,"([0.0], [125.0, 0.0])",13131,1.0,17,113749035.11
Experimentation & Testing,"['Google Analytics', 'Adobe Target', 'Google Tag Manager', 'Unbounce', 'Conversion Rate Optimization', 'A/B Testing', 'Funnel Testing', 'Hypothesis Testing', 'Multivariate Testing', 'Test Case Design']",313,"([0.0, 15.0, 0.0, 10.0, 10.0, 8.0, 0.0, 8.0, 0.0, 13.0, 40.0, 0.0, 10.0, 10.0, 12.0, 30.0, 25.0, 40.0, 0.0, 10.0, 8.0, 35.0, 0.0, 4.0, 35.0, 0.0, 12.0, 0.0, 8.0, 10.0, 10.0, 0.0, 20.0, 3.0, 10.0, 4.0, 0.0, 10.0, 5.0, 15.0, 0.0, 10.0, 0.0, 5.0, 0.0, 10.0, 5.0, 0.0, 30.0, 8.0, 12.0, 5.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 12.0, 10.0, 15.0, 10.0, 0.0, 15.0, 0.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 55.0, 12.0, 15.0, 0.0, 0.0, 0.0, 10.0, 15.0, 45.0, 10.0, 0.0, 6.0, 0.0, 0.0, 15.0, 8.0, 0.0, 0.0, 12.0, 15.0, 4.0, 5.0, 5.0, 0.0, 5.0, 15.0, 0.0, 8.0, 0.0, 20.0, 10.0, 3.0, 16.0, 10.0, 15.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 15.0, 0.0, 40.0, 0.0, 0.0, 25.0, 3.0, 5.0, 10.0, 15.0, 0.0, 0.0, 10.0, 22.0, 15.0, 5.0, 8.0, 15.0, 30.0, 15.0, 10.0, 15.0, 25.0, 0.0, 8.0, 50.0, 15.0, 15.0, 7.0, 6.5, 10.0, 25.0, 0.0, 0.0, 35.0, 8.0, 0.0, 5.0, 10.0, 4.0, 15.0, 0.0, 5.0, 30.0, 13.0, 5.0, 0.0, 3.0, 4.0, 0.0, 0.0, 25.0, 0.0, 10.0, 5.0, 12.0, 10.0, 30.0, 0.0, 0.0, 0.0], [84.0])",3134,1.0,22,29795173.880000003
Data Extraction,"['Beautiful Soup', 'Scrapy', 'Selenium', 'Selenium WebDriver', 'pandas', 'Google Apps Script', 'Informatica', 'Power Query', 'Puppeteer', 'Talend Open Studio', 'Web Scraping Framework', 'Web Scraping Plugin', 'API Integration', 'Data Extraction', 'Data Integration', 'Data Scraping', 'ETL', 'ETL Pipeline', 'Web Crawling', 'Web Scraping', 'JavaScript', 'PHP', 'SQL', 'Python', 'C#', 'R']",1296,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0])",13599,1.0,16,76767870.66999999
Data Processing,"['Apache Spark', 'Apache Airflow', 'Apache Kafka', 'Databricks Platform', 'Google Sheets', 'Microsoft Excel', 'SQL', 'Python', 'R', 'Visual Basic for Applications', 'Data Annotation', 'Data Cleaning', 'Data Entry', 'Data Labeling', 'Data Processing', 'Data Segmentation']",768,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0])",7506,1.0,18,101665575.62000002
Data Engineering,"['Apache Spark', 'Apache Airflow', 'Apache Kafka', 'AWS Glue', 'BigQuery', 'Databricks Platform', 'dbt', 'Docker', 'Elasticsearch', 'Informatica', 'Kubernetes', 'Microsoft Excel', 'PySpark', 'Snowflake', 'Talend Open Studio', 'Java', 'SQL', 'Python', 'R', 'Database Architecture', 'Database Design', 'Data Engineering', 'Data Integration', 'Data Migration', 'Data Preprocessing', 'Data Transformation', 'ETL Pipeline']",648,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0])",6681,1.0,17,82952705.67
Data Mining,"['SQL', 'Python', 'R', 'Data Entry', 'Data Mining', 'Data Scraping', 'Lead Generation', 'List Building', 'Online Research', 'Beautiful Soup', 'Scrapy', 'Selenium', 'pandas', 'Microsoft Excel', 'Microsoft Power BI', 'Python Scikit-Learn', 'Tableau']",2063,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0])",18416,1.0,20,216816766.73000002
Generative AI Modeling,"['Chatbot Development', 'AI Mobile App Development', 'AI Model Development', 'AI Model Integration', 'AI Model Training', 'ChatGPT API Integration', 'Generative AI', 'Generative AI Prompt Engineering', 'Hyperparameter Tuning', 'LLM Prompt Engineering', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'Object Detection', 'Prompt Engineering', 'AI Audio Generation', 'AI Chatbot', 'AI Content Creation', 'AI Content Editing', 'AI Content Writing', 'AI Video Generation', 'AI-Generated Code', 'Data Augmentation', 'Image Analysis', 'Image Processing', 'Image Recognition', 'Natural Language Generation', 'Natural Language Processing', 'Object Detection', 'Adobe Photoshop', 'Wix', 'React', 'PyTorch', 'TensorFlow', 'Agent GPT', 'Amazon SageMaker', 'Auto-GPT', 'Azure OpenAI Service', 'ElevenLabs', 'Framer', 'Gemini for Google Workspace', 'Hugging Face', 'Keras', 'LangChain', 'Microsoft 365 Copilot', 'Midjourney AI', 'OpenAI Embeddings', 'Rasa', 'Replit', 'Streamlit', 'ChatGPT', 'Claude', 'Claude 3.5 Sonnet', 'DALL-E', 'Gemini', 'GPT-4', 'Llama 3', 'Whisper AI', 'Java', 'Swift', 'JavaScript', 'Python', 'C++', 'Golang', 'Julia', 'MATLAB', 'R', 'Rust', 'Large Language Model', 'Multimodal Large Language Model', 'Transformer Model']",1254,"([0.0], [150.0])",13180,1.0,16,96850627.46
AI Data Annotation & Labeling,"['Data Annotation', 'Data Labeling', 'Data Segmentation', 'Video Annotation', 'OpenCV']",10,"([0.0], [55.0])",113,1.0,7,2073779.3699999999
Deep Learning,"['AI Development', 'AI Model Development', 'AI Model Training', 'Chatbot', 'Data Science Consultation', 'Deep Learning', 'Deep Learning Modeling', 'Hyperparameter Tuning', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'PyTorch', 'TensorFlow', 'Amazon SageMaker', 'deeplearn.js', 'Flask', 'Keras', 'MATLAB', 'OpenCV', 'Salesforce Einstein', 'Vertex AI', 'Java', 'Python', 'C++', 'R', 'Artificial Neural Network', 'Computer Vision', 'Image Processing', 'Long Short-Term Memory Network', 'Natural Language Generation', 'Natural Language Processing', 'Neural Network', 'Reinforcement Learning', 'Unsupervised Learning']",512,"([0.0], [150.0])",5465,1.0,14,50668308.339999996
